alpha,mu,participation,promote,oppose
0.34,44.0,1.0,0.0,0.07999999999999999
0.28,21.0,1.0,0.0,0.0
0.3,23.0,1.0,0.0,0.0
0.26,50.0,1.0,0.0,0.06
0.36,18.0,1.0,0.0,0.0
0.3,45.0,1.0,0.0,0.13
0.34,17.0,1.0,0.0,0.0
0.28,50.0,1.0,0.0,0.12999999999999998
0.26,27.0,1.0,0.0,0.0
0.28,0.0,0.0,0.71,0.0
0.32,22.0,1.0,0.0,0.0
0.34,45.0,1.0,0.0,0.14
0.32,46.0,1.0,0.0,0.14
0.3,24.0,1.0,0.0,0.0
0.36,19.0,1.0,0.0,0.0
0.36,36.0,1.0,0.0,0.11000000000000001
0.3,46.0,1.0,0.0,0.07999999999999999
0.3,0.0,0.0,0.7,0.0
0.26,28.0,1.0,0.0,0.0
0.32,23.0,1.0,0.0,0.0
0.34,46.0,1.0,0.0,0.06
0.28,22.0,1.0,0.0,0.0
0.3,25.0,1.0,0.0,0.0
0.36,20.0,1.0,0.0,0.0
